#{"t_start": 1772989638.5867548, "env_id": "None"}
r,l,t
-3834.0,686,8178.59807
-3246.0,688,8188.906026
-3708.0,688,8199.126726
-3067.0,688,8210.382267
-3111.0,688,8220.565582
-3945.0,686,8231.019452
-3478.0,687,8242.234816
-2866.0,688,8252.379283
-3125.0,687,8262.603027
-3158.0,688,8273.757345
-3813.0,688,8284.038842
-3950.0,688,8294.300676
-3918.0,688,8305.731159
-3846.0,686,8315.969875
-3562.0,688,8326.161116
-3595.0,688,8337.417931
-3560.0,688,8347.865637
-4139.0,686,8358.224809
-3313.0,687,8369.451141
-3476.0,688,8379.638662
-3263.0,687,8389.8513
-3759.0,687,8401.147812
-3880.0,688,8411.434647
-3537.0,689,8421.693806
-3869.0,687,8432.954839
-3620.0,686,8443.149829
-3260.0,688,8453.260735
-3517.0,688,8464.6267
-3789.0,688,8474.946353
-3507.0,687,8485.162649
-3625.0,686,8496.361537
-3461.0,687,8506.576846
-3725.0,688,8516.822909
-3485.0,686,8528.02215
-3621.0,686,8538.274939
-3538.0,688,8548.459328
-3454.0,688,8559.778973
-3553.0,688,8569.993258
-3682.0,686,8580.272647
-3646.0,688,8591.5381
-3126.0,688,8601.720342
-3535.0,686,8611.970635
-3598.0,686,8623.240941
-3279.0,688,8633.322218
-3870.0,688,8643.767183
-4060.0,688,8655.126381
-3541.0,688,8665.325956
-4490.0,688,8676.718062
-3099.0,688,8686.92042
-3366.0,688,8697.081647
-3433.0,688,8708.309757
-3520.0,687,8718.590024
-3951.0,688,8728.971219
-3622.0,686,8740.0861
-3660.0,687,8750.298551
-3533.0,686,8760.530363
-3773.0,688,8771.847709
-3273.0,687,8782.883015
-4034.0,688,8793.254184
-3319.0,687,8804.619152
-3527.0,688,8814.847669
-3733.0,686,8825.159991
