#{"t_start": 1774860329.7451491, "env_id": "None"}
r,l,t
-3865.0,689,5974.22801
-3645.0,687,5994.138197
-3805.0,688,6008.213896
-3727.0,688,6027.564276
-3910.0,688,6045.766927
-3583.0,687,6061.64576
-3908.0,688,6079.339575
-3380.0,686,6095.775884
-3605.0,688,6114.125127
-3246.0,688,6135.205908
-4040.0,688,6154.953889
-3822.0,686,6170.226406
-3856.0,688,6190.893943
-3384.0,688,6209.085897
-3213.0,688,6225.185653
-3166.0,688,6243.509457
-3182.0,688,6260.16341
-3175.0,688,6288.696606
-3307.0,688,6319.365138
-3661.0,688,6338.583864
-3824.0,688,6352.430322
-3267.0,688,6370.908426
-3746.0,686,6389.567453
-3262.0,688,6404.838414
-3264.0,687,6420.983824
-3653.0,688,6437.889975
-4109.0,687,6452.090377
-3354.0,688,6468.684429
-3150.0,688,6484.931506
-3771.0,688,6500.021886
-3853.0,688,6519.134412
-3760.0,687,6536.99376
-3867.0,687,6552.165299
-3519.0,688,6576.91607
-3573.0,688,6592.596604
-3963.0,686,6605.927895
-3513.0,687,6623.914067
-3183.0,687,6641.120484
-4266.0,686,6655.535316
-3509.0,687,6672.253393
-3446.0,687,6689.095931
-3353.0,687,6703.480879
-3538.0,688,6719.478111
-4118.0,688,6736.220152
-3346.0,687,6749.41231
-3313.0,688,6764.576288
-4048.0,688,6781.59293
-3323.0,687,6797.413553
-3742.0,688,6811.889028
-3789.0,687,6827.970921
-3842.0,687,6844.0568
-3317.0,688,6858.26485
-3154.0,688,6875.008241
-3783.0,686,6892.441447
-3362.0,686,6905.67562
-3160.0,687,6920.908535
-3207.0,688,6935.725151
-3842.0,688,6948.593963
-3713.0,689,6963.307597
-3947.0,687,6978.160711
-3343.0,688,6990.849765
